Stim (0.12)   Stim (0.18/2)       Stim (1/2)

280.453,      248.915,            246.683,
279.245,      242.025,            225.635,
261.515,      320.96,             246.975,
253.673,      219.095,            0,
292.645,      302.418,            283.9,
229.058,      225.238,            0,
243.515,      250.675,            262.958,
295.507,      214.264,            0,
229.907,      258.41,             238.933,
235.998,      228.437,            0,
242.265,      253.81,             284.25,
263.957,      230.759,            0,
206.595,      290.078,            257.38,
201.853,      218.455,            0,
250.062,      266.732,            271.448,
233.688,      222.469,            0,
261.84,       241.887,            280.075,
286.977,      267.092,            0,
338.92,       237.453,            267.45,
257.093,      245.448,            0,
272.168,      296.525,            291.753,
219.435,      208.204,            0,
239.012,      258.37,             262.64,
246.27,       227.787,            0,
348.26,       281.8,              256.045,

MEAN AVERAGE

258.796       250.292             147.045
